Session Start: Mon Feb 16 12:05:12 2015
Session Ident: #Rainb
[12:05.12] --levite--- logged in with account (dubrock)
[12:08.48] --pcg-- logged in with account (personalcomputer)
[12:36.05] --nicksydney-- logged in with account (NickSydney)
[12:36.13] --struktured-- logged in with account (struktured)
[12:46.18] --tarkus-- logged in with account (tarkus)
[12:53.13] --jsheldon-- logged in with account (jsheldon)
[01:08.09] --fergus-- logged in with account (fergus)
[01:11.10] --mnfst-- logged in with account (mnfst)
[01:14.40] --hecatonicosachor-- logged in with account (Sacho)
[01:19.13] --a3Dman-- logged in with account (a3Dman)
[01:36.04] --hrumph-- logged in with account (Hrumph)
[01:41.48] --fergus-- logged in with account (fergus)
[01:50.12] --t0by-- logged in with account (T0by)
[01:52.45] --ystael-- logged in with account (ystael)
[01:54.40] --merzo-- logged in with account (merzo)
[02:00.41] * duckrabbit (~duckrabbi@pool-108-38-111-90.lsanca.dsl-w.verizon.net) Quit (Read error: Connection reset by peer)
[02:09.08] --Yordan89-- logged in with account (Yordan89)
[02:13.42] --suvidu-- logged in with account (suvidu)
[02:29.02] --pedro3005-- logged in with account (pedro3005)
[02:45.51] --hanshenrik_-- logged in with account (Hans_Henrik)
[02:50.04] --pawnda-- logged in with account (pawnda)
[03:02.26] --_kmh_-- logged in with account (_kmh_)
[03:11.26] --razieliyo-- logged in with account (razieliyo)
[03:14.04] --Nazral-- logged in with account (Tyruiop)
[03:15.53] --STumbles-- logged in with account (sstumbles)
[03:18.53] --dan64-- logged in with account (dan64)
[03:24.42] --Platyp-- logged in with account (Platyp)
[03:26.38] --SecretFire-- logged in with account (SecretFire)
[03:35.35] --Bojack-- logged in with account (Bojack)
[03:36.24] --a3Dman-- logged in with account (a3Dman)
[03:47.06] --_1k5-- logged in with account (mdl)
[03:48.56] --oriba-- logged in with account (oriba)
[04:04.22] --JoeHazNull-- logged in with account (JoeHazNull)
[04:08.54] --Pr0x1mu5-- logged in with account (Pr0x1mu5)
[04:10.24] --chenxiaop-- logged in with account (ChenXiaoP)
[04:20.29] --olspookishmagus-- logged in with account (olspookishmagus)
[04:24.30] --gar_onn-- logged in with account (Gar_onn)
[04:24.43] --abs25-- logged in with account (abs25)
[04:27.31] --Yordan89-- logged in with account (Yordan89)
[04:30.53] --johnflux-- logged in with account (JohnFlux)
[04:32.33] --Catuse-- logged in with account (Catuse)
[04:44.19] --ZoidbergWill-- logged in with account (ZoidbergWill)
